25.10.2018   N1108
Образец: "Chinese_Precise"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   3010     0,0    1505     0,0
   3015     0,0    1508    33,6
   3020     0,0    1510     0,0
   3025    33,6    1513     0,0
   3030     0,0    1515     0,0
   3035     0,0    1518     0,0
   3040     0,0    1520     0,0
   3045     0,0    1523     0,0
   3050     0,0    1525     0,0
   3055     0,0    1528     0,0
   3060     0,0    1530    33,6
   3065     0,0    1533     0,0
   3070     0,0    1535     0,0
   3075     0,0    1538    67,2
   3080     0,0    1540    33,6
   3085     0,0    1543    67,2
   3090     0,0    1545    33,6
   3095     0,0    1548     0,0
   3100     0,0    1550     0,0
   3105     0,0    1553     0,0
   3110     0,0    1555    33,6
   3115     0,0    1558     0,0
   3120     0,0    1560     0,0
   3125     0,0    1562     0,0
   3130     0,0    1565     0,0
   3135     0,0    1568     0,0
   3140     0,0    1570    33,6
   3145     0,0    1573    33,6
   3150     0,0    1575    33,6
   3155     0,0    1577     0,0
   3160     0,0    1580     0,0
   3165     0,0    1583     0,0
   3170     0,0    1585     0,0
   3175     0,0    1587     0,0
   3180     0,0    1590    33,6
   3185     0,0    1592     0,0
   3190     0,0    1595     0,0
   3195     0,0    1597     0,0
   3200     0,0    1600     0,0
   3205     0,0    1602     0,0
   3210     0,0    1605     0,0
   3215     0,0    1607     0,0
